Model,Test Accuracy,Precision,Recall,F1-Score,Training Time (min)
mobilenet_v3_large,0.8954996186117468,0.902566440498026,0.8954996186117468,0.8871725841649317,21.940581397215524
resnet50,0.8554538520213577,0.8715181969831323,0.8554538520213577,0.8405027748169399,20.4508873462677
efficientnet_b0,0.8756674294431731,0.8804643392162792,0.8756674294431731,0.8637781472333634,20.547983618577323
efficientnet_v2_s,0.8836765827612509,0.8899186903086623,0.8836765827612509,0.8714191173354602,22.76444334189097
